timestamp,open,low,high,close,volume
2022-08-03 09:00:00,294,250,312,278,0
2022-08-03 10:00:00,278,240,278,250,138044800
2022-08-03 11:00:00,250,250,260,260,23951700
2022-08-03 12:00:00,250,250,260,260,0
2022-08-03 13:00:00,260,260,280,270,58635100
2022-08-03 14:00:00,270,260,270,260,38031800
2022-08-03 15:00:00,270,260,270,260,0
2022-08-03 16:00:00,270,260,270,260,0
2022-08-04 09:00:00,238,238,260,240,0
2022-08-04 10:00:00,238,238,244,240,8248700
2022-08-04 11:00:00,240,238,242,242,1123400
2022-08-04 12:00:00,240,238,242,242,0
2022-08-04 13:00:00,240,238,242,238,6355300
2022-08-04 14:00:00,238,238,240,238,4441300
2022-08-04 15:00:00,238,238,238,238,858100
2022-08-04 16:00:00,238,238,238,238,0
2022-08-05 09:00:00,228,222,242,240,0
2022-08-05 10:00:00,242,226,246,234,14455700
2022-08-05 11:00:00,232,230,236,232,1197300
2022-08-05 12:00:00,232,230,236,232,0
2022-08-05 13:00:00,234,232,236,234,1492900
2022-08-05 14:00:00,234,228,236,230,4556600
2022-08-05 15:00:00,230,230,230,230,1023200
2022-08-05 16:00:00,230,230,230,230,0
2022-08-08 09:00:00,230,228,250,236,0
2022-08-08 10:00:00,236,234,254,246,29830200
2022-08-08 11:00:00,246,242,250,250,3657100
2022-08-08 12:00:00,246,242,250,250,0
2022-08-08 13:00:00,244,244,250,248,3205300
2022-08-08 14:00:00,248,242,256,242,21310100
2022-08-08 15:00:00,240,240,250,240,3982000
2022-08-08 16:00:00,240,240,250,240,0
2022-08-09 09:00:00,242,226,250,230,0
2022-08-09 10:00:00,232,230,250,232,2455200
2022-08-09 11:00:00,232,230,250,250,635500
2022-08-09 12:00:00,232,230,250,250,0
2022-08-09 13:00:00,230,230,250,230,3207900
2022-08-09 14:00:00,230,228,250,230,2736900
2022-08-09 15:00:00,228,228,250,228,612600
2022-08-09 16:00:00,228,228,250,228,0
2022-08-10 09:00:00,228,228,250,232,0
2022-08-10 10:00:00,232,228,250,230,1524900
2022-08-10 11:00:00,232,228,250,230,197400
2022-08-10 12:00:00,232,228,250,230,0
2022-08-10 13:00:00,228,228,250,230,1255400
2022-08-10 14:00:00,230,224,250,250,5741700
2022-08-10 15:00:00,226,226,250,250,0
2022-08-10 16:00:00,226,226,250,250,0
2022-08-11 09:00:00,228,214,250,222,5630600
2022-08-11 10:00:00,220,216,250,218,2228600
2022-08-11 11:00:00,220,214,250,250,2889100
2022-08-11 12:00:00,220,214,250,250,0
2022-08-11 13:00:00,216,214,250,250,3062100
2022-08-11 14:00:00,218,214,250,214,3593800
