timestamp,open,low,high,close,volume
2022-07-08,180,141,190,155,626280600
2022-07-11,155,145,155,145,41628100
2022-07-12,135,135,143,135,63258000
2022-07-13,127,126,135,126,107846400
2022-07-14,136,118,150,125,290579300
2022-07-15,125,120,137,121,85385100
2022-07-18,121,121,127,121,20181200
2022-07-19,120,113,148,113,278948200
2022-07-20,108,108,119,114,81934800
2022-07-21,115,107,118,107,42561300
2022-07-22,100,100,108,100,49939100
2022-07-25,105,100,108,104,50568000
2022-07-26,106,103,108,104,29175100
2022-07-27,106,103,133,125,114087500
2022-07-28,125,117,128,117,115373400
2022-07-29,113,113,133,116,199943500
2022-08-01,116,114,123,117,64298400
2022-08-02,117,115,122,118,74669000
2022-08-03,120,116,120,118,14631300
2022-08-04,118,118,121,119,45018100
2022-08-05,120,118,124,123,27720100
2022-08-08,123,120,128,124,74012000
2022-08-09,124,121,126,126,36557100
2022-08-10,126,123,127,126,14838700
2022-08-11,126,123,129,126,20049500
2022-08-12,126,121,127,122,34026500
2022-08-15,122,116,123,117,11591200
2022-08-16,117,116,127,121,46301800
2022-08-17,117,116,127,121,0
2022-08-18,123,118,125,119,20867700
2022-08-19,118,111,124,115,42394300
2022-08-22,116,113,117,113,4667900
2022-08-23,113,113,122,118,68205400
2022-08-24,119,118,123,122,64167700
2022-08-25,123,119,123,122,37563300
2022-08-26,122,118,123,118,43603400
2022-08-29,118,115,119,117,6643900
2022-08-30,116,111,119,113,37877100
2022-08-31,114,112,118,114,21584300
2022-09-01,111,110,114,111,40882200
2022-09-02,111,104,113,104,40733900
2022-09-05,105,104,114,111,62513000
2022-09-06,113,108,118,108,27968900
2022-09-07,108,105,108,106,34035100
2022-09-08,107,105,109,106,9843200
2022-09-09,107,106,111,109,28322800
2022-09-12,109,107,109,107,4427100
2022-09-13,107,106,110,106,19768200
2022-09-14,106,105,107,106,5009800
2022-09-15,106,105,109,108,20313000
2022-09-16,108,105,109,106,8215200
2022-09-19,106,103,106,103,24258700
2022-09-20,103,103,105,105,4755900
2022-09-21,105,103,107,105,18991000
2022-09-22,104,101,105,103,4668200
2022-09-23,103,102,105,103,19108500
2022-09-26,102,100,104,101,5451700
2022-09-27,101,100,106,104,21387300
2022-09-28,105,102,106,103,5433000
2022-09-29,103,102,105,102,18955700
2022-09-30,102,102,104,103,4176100
2022-10-03,103,102,106,102,19696600
2022-10-04,103,101,104,102,4729700
2022-10-05,97,97,103,102,26704600
2022-10-06,103,101,103,102,2925700
2022-10-07,102,98,104,98,22028100
2022-10-10,102,97,102,100,12930100
2022-10-11,100,99,101,99,4348300
2022-10-12,100,94,100,94,9163600
2022-10-13,92,92,100,93,4887400
2022-10-14,93,88,95,88,8271700
2022-10-17,89,82,89,82,9151500
2022-10-18,82,80,91,87,6730800
2022-10-19,84,84,95,93,9043200
2022-10-20,90,90,97,96,2309000
2022-10-21,93,93,97,94,1731500
2022-10-24,93,88,97,88,5742900
2022-10-25,88,88,95,92,8805700
2022-10-26,95,92,114,106,137463900
2022-10-27,108,107,125,121,127214700
2022-10-28,122,116,131,117,85888500
2022-10-31,117,116,124,122,23270400
2022-11-01,122,114,123,114,22988600
2022-11-02,115,109,124,114,38444500
2022-11-03,111,110,119,110,30210700
2022-11-04,110,105,113,105,13977000
