timestamp,open,low,high,close,volume
2022-04-18,770,745,770,755,7947900
2022-04-19,750,705,760,705,25978900
2022-04-20,700,665,705,695,34215900
2022-04-21,705,690,725,725,10846900
2022-04-22,725,700,735,710,9733600
2022-04-25,710,690,710,695,7146300
2022-04-26,695,680,710,700,13599700
2022-04-27,695,680,710,690,4828800
2022-04-28,690,665,695,670,9442300
2022-04-29,690,665,695,670,0
2022-05-02,690,665,695,670,0
2022-05-03,690,665,695,670,0
2022-05-04,690,665,695,670,0
2022-05-05,690,665,695,670,0
2022-05-06,690,665,695,670,0
2022-05-09,680,645,680,650,10651600
2022-05-10,650,630,665,655,9548500
2022-05-11,655,650,670,650,3739700
2022-05-12,660,635,660,635,3278900
2022-05-13,635,620,660,655,10395000
2022-05-16,635,620,660,655,0
2022-05-17,625,625,680,675,6512600
2022-05-18,675,655,685,665,4567800
2022-05-19,665,640,685,670,6714600
2022-05-20,680,670,695,685,8594300
2022-05-23,685,670,690,675,1897100
2022-05-24,680,680,705,705,5522800
2022-05-25,710,690,710,695,3370900
2022-05-26,710,690,710,695,0
2022-05-27,710,690,710,695,0
2022-05-30,700,690,705,690,5156300
2022-05-31,695,675,700,680,10245900
2022-06-01,695,675,700,680,0
2022-06-02,675,635,675,635,18250000
2022-06-03,635,625,655,635,6954300
2022-06-06,635,610,640,610,15617100
2022-06-07,610,610,645,640,14609800
2022-06-08,640,630,650,640,11634300
2022-06-09,640,615,645,620,13738100
2022-06-10,620,610,630,610,16139600
2022-06-13,610,600,615,615,7603800
2022-06-14,615,610,625,615,4807300
2022-06-15,620,605,620,615,5517700
2022-06-16,620,605,620,610,6835400
2022-06-17,610,580,610,585,13645600
2022-06-20,585,575,590,585,9002700
2022-06-21,590,580,590,580,8804000
2022-06-22,585,580,595,590,9376600
2022-06-23,590,580,595,590,9376300
2022-06-24,595,590,615,595,7180700
2022-06-27,600,585,605,590,6578600
2022-06-28,595,580,595,585,3768200
2022-06-29,585,580,590,585,4375900
2022-06-30,585,585,595,585,3390000
2022-07-01,590,560,590,565,9715800
2022-07-04,555,550,570,555,6300200
2022-07-05,555,550,570,560,1515400
2022-07-06,560,550,565,555,2008200
2022-07-07,555,550,560,550,3704600
2022-07-08,550,550,575,565,3643600
2022-07-11,565,560,570,560,862300
2022-07-12,565,555,575,570,8116000
2022-07-13,570,555,570,555,1467700
2022-07-14,555,550,560,555,2660500
2022-07-15,555,550,565,555,2859800
2022-07-18,555,555,570,565,4112700
2022-07-19,570,560,570,570,2417900
2022-07-20,570,565,580,570,9212800
2022-07-21,575,575,595,575,6539000
2022-07-22,580,570,590,580,5220700
2022-07-25,580,570,585,580,4249000
2022-07-26,585,570,590,570,3464600
2022-07-27,570,565,575,565,5093000
2022-07-28,565,560,575,570,9214400
2022-07-29,580,575,600,580,27052400
2022-08-01,590,565,595,570,19668000
2022-08-02,575,565,580,565,6286500
2022-08-03,570,555,570,565,11349800
2022-08-04,570,565,580,575,10835800
2022-08-05,575,570,580,575,10744500
2022-08-08,580,575,595,580,20675100
2022-08-09,585,580,595,590,26492900
2022-08-10,590,575,595,580,10501600
2022-08-11,580,575,585,580,9537600
2022-08-12,580,570,585,575,9719800
2022-08-15,575,575,585,580,15063200
2022-08-16,585,575,585,580,7061500
2022-08-17,585,575,585,580,0
2022-08-18,580,570,585,575,11340500
2022-08-19,575,570,585,580,7813200
2022-08-22,580,570,585,580,6357500
2022-08-23,575,575,580,580,5127900
2022-08-24,580,575,580,575,6869900
2022-08-25,580,575,585,580,5768900
2022-08-26,580,580,620,605,44064200
2022-08-29,605,595,610,605,11901400
2022-08-30,605,595,610,600,9744600
2022-08-31,605,580,605,590,11348000
2022-09-01,590,580,595,580,7444600
2022-09-02,580,580,610,600,19783700
2022-09-05,600,585,600,585,11046100
2022-09-06,585,580,595,580,10507900
2022-09-07,580,580,590,590,6328100
2022-09-08,590,585,600,590,6175200
2022-09-09,590,585,595,590,3334200
2022-09-12,590,580,595,590,17845000
2022-09-13,590,585,595,590,8247100
2022-09-14,575,575,620,605,22602100
2022-09-15,605,605,640,615,31824000
2022-09-16,620,585,630,595,39399900
2022-09-19,595,580,600,595,12191000
2022-09-20,595,590,600,595,3459400
2022-09-21,595,585,595,585,3406500
2022-09-22,585,585,595,585,5391300
2022-09-23,590,590,605,590,5929500
2022-09-26,590,575,590,580,13545600
2022-09-27,585,575,585,580,7138800
2022-09-28,580,570,590,580,8617200
2022-09-29,580,575,585,575,4426000
2022-09-30,575,555,575,555,24328800
2022-10-03,555,550,560,555,15430100
2022-10-04,575,555,575,565,10989300
2022-10-05,570,550,570,560,13464400
2022-10-06,560,550,560,555,11496500
2022-10-07,560,550,560,555,9240500
2022-10-10,555,550,570,565,12707900
2022-10-11,570,560,575,570,6875200
2022-10-12,570,560,575,570,6359200
2022-10-13,570,560,570,565,2838800
2022-10-14,565,555,570,565,4333100
2022-10-17,565,540,565,550,9225000
2022-10-18,550,550,560,550,2731500
2022-10-19,550,545,560,560,2630200
2022-10-20,560,555,565,560,1961700
2022-10-21,560,555,580,580,11210400
2022-10-24,580,575,585,575,4024200
2022-10-25,575,565,575,575,4425400
2022-10-26,575,565,580,575,4338500
2022-10-27,575,570,600,590,16242200
2022-10-28,595,575,595,580,6770100
2022-10-31,575,570,585,575,9022000
2022-11-01,580,575,590,585,6511100
2022-11-02,585,580,595,585,3943100
2022-11-03,585,580,590,585,5357500
2022-11-04,585,570,590,575,10817800
